Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Mario Pinto (42305467),Mario Pinto,42305467,F,9700,Franco@Pinto 03/21/2026 02:40PM ET,Pinto,106.49
F,Mantas Kondratavicius (42305462),Mantas Kondratavicius,42305462,F,9600,Trocoli@Kondratavicius 03/21/2026 02:20PM ET,Kondratavicius,0
F,Iwo Baraniewski (42305448),Iwo Baraniewski,42305448,F,9500,Lane@Baraniewski 03/21/2026 04:40PM ET,Baraniewski,120.33
F,Shanelle Dyer (42305463),Shanelle Dyer,42305463,F,9400,Oliveira@Dyer 03/21/2026 01:20PM ET,Dyer,0
F,Christian Leroy Duncan (42305445),Christian Leroy Duncan,42305445,F,9300,Duncan@Dolidze 03/21/2026 04:20PM ET,Duncan,82.44
F,Luke Riley (42305456),Luke Riley,42305456,F,9100,Aswell Jr.@Riley 03/21/2026 05:20PM ET,Riley,87.25
F,Brando Pericic (42305457),Brando Pericic,42305457,F,9000,Pericic@Sutherland 03/21/2026 02:00PM ET,Pericic,102.67
F,Movsar Evloev (42305441),Movsar Evloev,42305441,F,8900,Murphy@Evloev 03/21/2026 05:40PM ET,Evloev,102.27
F,Kurtis Campbell (42305450),Kurtis Campbell,42305450,F,8800,Silva@Campbell 03/21/2026 04:00PM ET,Campbell,0
F,Losene Keita (42305444),Losene Keita,42305444,F,8700,Keita@Wood 03/21/2026 03:00PM ET,Keita,0
F,Michael Page (42305465),Michael Page,42305465,F,8600,Patterson@Page 03/21/2026 05:00PM ET,Page,40.77
F,Mason Jones (42305451),Mason Jones,42305451,F,8400,Sola@Jones 03/21/2026 03:20PM ET,Jones,81.34
F,Abdul-Kareem Al-Selwady (42305454),Abdul-Kareem Al-Selwady,42305454,F,8300,Al-Selwady@Rock 03/21/2026 01:40PM ET,Al-Selwady,37.52
F,Luana Carolina (42305460),Luana Carolina,42305460,F,8200,Carolina@Mullins 03/21/2026 01:00PM ET,Carolina,58.09
F,Melissa Mullins (42305459),Melissa Mullins,42305459,F,8000,Carolina@Mullins 03/21/2026 01:00PM ET,Mullins,60.97
F,Shem Rock (42305453),Shem Rock,42305453,F,7900,Al-Selwady@Rock 03/21/2026 01:40PM ET,Rock,30.16
F,Axel Sola (42305452),Axel Sola,42305452,F,7800,Sola@Jones 03/21/2026 03:20PM ET,Sola,84.95
F,Sam Patterson (42305466),Sam Patterson,42305466,F,7600,Patterson@Page 03/21/2026 05:00PM ET,Patterson,81.48
F,Nathaniel Wood (42305443),Nathaniel Wood,42305443,F,7500,Keita@Wood 03/21/2026 03:00PM ET,Wood,80.30
F,Danny Silva (42305449),Danny Silva,42305449,F,7400,Silva@Campbell 03/21/2026 04:00PM ET,Silva,61.32
F,Lerone Murphy (42305442),Lerone Murphy,42305442,F,7300,Murphy@Evloev 03/21/2026 05:40PM ET,Murphy,87.25
F,Louie Sutherland (42305458),Louie Sutherland,42305458,F,7200,Pericic@Sutherland 03/21/2026 02:00PM ET,Sutherland,1.2
F,Michael Aswell Jr. (42305455),Michael Aswell Jr.,42305455,F,7100,Aswell Jr.@Riley 03/21/2026 05:20PM ET,Aswell Jr.,85.22
F,Roman Dolidze (42305446),Roman Dolidze,42305446,F,6900,Duncan@Dolidze 03/21/2026 04:20PM ET,Dolidze,77.17
F,Ravena Oliveira (42305464),Ravena Oliveira,42305464,F,6800,Oliveira@Dyer 03/21/2026 01:20PM ET,Oliveira,23.43
F,Austen Lane (42305447),Austen Lane,42305447,F,6700,Lane@Baraniewski 03/21/2026 04:40PM ET,Lane,22.8
F,Antonio Trocoli (42305461),Antonio Trocoli,42305461,F,6600,Trocoli@Kondratavicius 03/21/2026 02:20PM ET,Trocoli,7.28
F,Felipe Franco (42305468),Felipe Franco,42305468,F,6500,Franco@Pinto 03/21/2026 02:40PM ET,Franco,0
