Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Michelle Montague (42704868),Michelle Montague,42704868,F,9300,Montague@Bueno Silva 04/25/2026 05:40PM ET,Montague,102.29
F,Rodolfo Vieira (42704866),Rodolfo Vieira,42704866,F,9100,McConico@Vieira 04/25/2026 06:20PM ET,Vieira,69.44
F,Julia Polastri (42704864),Julia Polastri,42704864,F,9000,Polastri@Alencar 04/25/2026 05:00PM ET,Polastri,69.64
F,Norma Dumont (42704860),Norma Dumont,42704860,F,8800,Edwards@Dumont 04/25/2026 09:20PM ET,Dumont,70.50
F,Jackson McVey (42704870),Jackson McVey,42704870,F,8700,Dumas@McVey 04/25/2026 06:00PM ET,McVey,17.96
F,Montel Jackson (42704862),Montel Jackson,42704862,F,8600,Barcelos@Jackson 04/25/2026 08:20PM ET,Jackson,89.25
F,Alexander Hernandez (42704872),Alexander Hernandez,42704872,F,8500,Hernandez@Garcia 04/25/2026 09:00PM ET,Hernandez,65.15
F,Youssef Zalal (42704858),Youssef Zalal,42704858,F,8400,Zalal@Sterling 04/25/2026 09:40PM ET,Zalal,72.12
F,Marcus Buchecha (42704875),Marcus Buchecha,42704875,F,8300,Spann@Buchecha 04/25/2026 08:00PM ET,Buchecha,40.58
F,Juan Adrian Martinetti (42704856),Juan Adrian Martinetti,42704856,F,8200,Martinetti@Grant 04/25/2026 08:40PM ET,Martinetti,0
F,Davey Grant (42704857),Davey Grant,42704857,F,8000,Martinetti@Grant 04/25/2026 08:40PM ET,Grant,57.06
F,Ryan Spann (42704874),Ryan Spann,42704874,F,7900,Spann@Buchecha 04/25/2026 08:00PM ET,Spann,62.05
F,Aljamain Sterling (42704859),Aljamain Sterling,42704859,F,7800,Zalal@Sterling 04/25/2026 09:40PM ET,Sterling,84.48
F,Rafa Garcia (42704873),Rafa Garcia,42704873,F,7700,Hernandez@Garcia 04/25/2026 09:00PM ET,Garcia,71.86
F,Raoni Barcelos (42704863),Raoni Barcelos,42704863,F,7600,Barcelos@Jackson 04/25/2026 08:20PM ET,Barcelos,76.26
F,Sedriques Dumas (42704871),Sedriques Dumas,42704871,F,7500,Dumas@McVey 04/25/2026 06:00PM ET,Dumas,31.98
F,Joselyne Edwards (42704861),Joselyne Edwards,42704861,F,7400,Edwards@Dumont 04/25/2026 09:20PM ET,Edwards,78.21
F,Talita Alencar (42704865),Talita Alencar,42704865,F,7200,Polastri@Alencar 04/25/2026 05:00PM ET,Alencar,73.02
F,Eric McConico (42704867),Eric McConico,42704867,F,7100,McConico@Vieira 04/25/2026 06:20PM ET,McConico,28.89
F,Mayra Bueno Silva (42704869),Mayra Bueno Silva,42704869,F,6900,Montague@Bueno Silva 04/25/2026 05:40PM ET,Bueno Silva,58.00
