RedFighter,BlueFighter,RedOdds,BlueOdds,RKOOdds,BKOOdds,RSubOdds,BSubOdds,RedDecOdds,BlueDecOdds
Alice Pereira,Hailey Cowan,,,,,,,,
Renato Moicano,Chris Duncan,,,,,,,,
Ethyn Ewing,Rafael Estevam,,,,,,,,
Lando Vannata,Darrius Flowers,,,,,,,,
Dione Barbosa,Melissa Gatto,,,,,,,,
Azamat Bekoev,Tresean Gore,,,,,,,,
Alessandro Costa,Stewart Nicoll,,,,,,,,
Guilherme Pat,Thomas Petersen,,,,,,,,
Abdul Rakhman Yakhyaev,Brendson Ribeiro,,,,,,,,
Virna Jandiroba,Tabatha Ricci,,,,,,,,
Jose Delano,Robert Ruchala,,,,,,,,
Tommy McMillen,Manolo Zecchini,,,,,,,,
